uuid,Employee Name,Department,Visit_Date,Entry_time,Exit_time,Purpose of Visit,Day of Week
66687e7efc13ae4e092351ce,Beauregard Chiswell,Human Resources,2024-10-01,8:38,14:02,Meeting,Tuesday
66687e7efc13ae4e092351cf,Ely Blanking,Support,2024-07-04,7:08,15:40,Work,Thursday
66687e7efc13ae4e092351d0,Nils Copas,Support,2024-11-06,7:23,16:57,Meeting,Wednesday
66687e7efc13ae4e092351d1,Leslie Knellen,Marketing,2024-08-01,7:31,14:34,Work,Thursday
66687e7efc13ae4e092351d2,Catharina Gallehawk,Business Development,2024-02-02,6:27,17:33,Meeting,Friday
66687e7efc13ae4e092351d3,Brooke Cuvley,Engineering,2024-04-07,6:44,15:41,Work,Sunday
66687e7efc13ae4e092351d4,Moria Bowser,Legal,2024-11-04,9:08,15:11,Meeting,Monday
66687e7efc13ae4e092351d5,Maryanna Large,Research and Development,2024-02-03,6:39,15:54,Work,Saturday
66687e7efc13ae4e092351d6,Conn Bawcock,Training,2024-12-03,9:34,17:32,Work,Tuesday
66687e7efc13ae4e092351d7,Annabel Linggard,Marketing,2024-06-06,8:19,14:06,Meeting,Thursday
66687e7efc13ae4e092351d8,Edgar Dimberline,Business Development,2024-12-07,8:04,14:03,Meeting,Saturday
66687e7efc13ae4e092351d9,Roldan Lassey,Product Management,2024-03-02,8:12,16:12,Meeting,Saturday
66687e7efc13ae4e092351da,Ninon Dimitrov,Product Management,2024-03-07,7:21,17:21,Work,Thursday
66687e7efc13ae4e092351db,Benny Sidnell,Marketing,2024-10-07,8:15,17:29,Work,Monday
66687e7efc13ae4e092351dc,Bessie Ladbrooke,Services,2024-10-06,9:42,14:44,Training,Sunday
66687e7efc13ae4e092351dd,Tommy Crighton,Business Development,2024-03-03,6:34,16:30,Meeting,Sunday
66687e7efc13ae4e092351de,Elfrida Garard,Marketing,2024-03-06,6:16,15:40,Client Visit,Wednesday
66687e7efc13ae4e092351df,Jeanna Carnew,Training,2024-04-04,7:19,17:25,Work,Thursday
66687e7efc13ae4e092351e0,Powell Alesin,Training,2024-03-04,6:12,17:04,Training,Monday
66687e7efc13ae4e092351e1,Omar Gniewosz,Training,2024-01-06,8:09,16:40,Work,Saturday
66687e7efc13ae4e092351e2,Kariotta Kermannes,Human Resources,2024-04-01,9:28,17:08,Client Visit,Monday
66687e7efc13ae4e092351e3,Clive Boxhill,Product Management,2024-05-05,8:49,15:06,Work,Sunday
66687e7efc13ae4e092351e4,Cletis Lawley,Training,2024-06-05,8:43,17:05,Work,Wednesday
66687e7efc13ae4e092351e5,Joni Sewell,Business Development,2024-12-06,7:36,15:04,Meeting,Friday
66687e7efc13ae4e092351e6,Elmo O'Noulane,Sales,2024-06-02,7:50,17:53,Meeting,Sunday
66687e7efc13ae4e092351e7,Emalia Hazle,Business Development,2024-10-06,8:19,14:08,Work,Sunday
66687e7efc13ae4e092351e8,Mickie Hampson,Research and Development,2024-05-02,8:35,17:13,Meeting,Thursday
66687e7efc13ae4e092351e9,Luise Shelly,Engineering,2024-08-05,7:02,17:02,Work,Monday
66687e7efc13ae4e092351ea,Jocelyn Spick,Accounting,2024-11-05,7:53,17:46,Work,Tuesday
66687e7efc13ae4e092351eb,Leonerd Ballantine,Human Resources,2024-03-01,7:07,15:07,Work,Friday
66687e7efc13ae4e092351ec,Sanderson Skechley,Business Development,2024-09-06,9:44,16:46,Work,Friday
66687e7efc13ae4e092351ed,Krissy Karolovsky,Sales,2024-08-06,8:58,16:41,Work,Tuesday
66687e7efc13ae4e092351ee,Farah Nassy,Sales,2024-08-03,9:47,16:53,Work,Saturday
66687e7efc13ae4e092351ef,Ingaborg Tomes,Sales,2024-09-01,7:15,16:15,Meeting,Sunday
66687e7efc13ae4e092351f0,Tootsie Luis,Human Resources,2024-05-03,9:03,17:58,Work,Friday
66687e7efc13ae4e092351f1,Shirley Dalrymple,Research and Development,2024-05-06,6:10,15:53,Work,Monday
66687e7efc13ae4e092351f2,Belita Reece,Human Resources,2024-08-04,6:27,17:58,Work,Sunday
66687e7efc13ae4e092351f3,Kathryne Cammack,Training,2024-07-01,8:06,17:12,Meeting,Monday
66687e7efc13ae4e092351f4,Kare De Hooge,Product Management,2024-12-01,6:45,14:14,Meeting,Sunday
66687e7efc13ae4e092351f5,Manfred Draysay,Business Development,2024-07-07,7:08,16:55,Meeting,Sunday
66687e7efc13ae4e092351f6,Rycca Dickerson,Sales,2024-06-07,9:20,15:32,Work,Friday
66687e7efc13ae4e092351f7,Friederike MacCleay,Services,2024-08-04,9:32,14:45,Meeting,Sunday
66687e7efc13ae4e092351f8,Jerrie Truelock,Support,2024-07-02,8:35,14:25,Meeting,Tuesday
66687e7efc13ae4e092351f9,Kent Taylo,Product Management,2024-06-01,6:20,16:50,Training,Saturday
66687e7efc13ae4e092351fa,Karia Bordes,Services,2024-01-03,8:20,16:59,Training,Wednesday
66687e7ffc13ae4e092351fb,Zondra Piggin,Engineering,2024-04-06,7:06,14:03,Meeting,Saturday
66687e7ffc13ae4e092351fc,Heall Simpson,Services,2024-10-01,9:18,14:49,Meeting,Tuesday
66687e7ffc13ae4e092351fd,Haydon Clacey,Sales,2024-11-06,8:46,17:40,Work,Wednesday
66687e7ffc13ae4e092351fe,Rurik Currum,Training,2024-10-02,6:01,16:46,Work,Wednesday
66687e7ffc13ae4e092351ff,Marguerite Vasser,Training,2024-06-03,8:18,17:45,Work,Monday
66687e7ffc13ae4e09235200,Debbie Caughey,Human Resources,2024-10-05,8:08,15:19,Work,Saturday
66687e7ffc13ae4e09235201,Monro Pauley,Legal,2024-06-05,8:40,15:33,Meeting,Wednesday
66687e7ffc13ae4e09235202,Colver Magor,Legal,2024-09-02,8:41,14:49,Work,Monday
66687e7ffc13ae4e09235203,Gilbertine Stabbins,Marketing,2024-07-06,6:28,14:07,Meeting,Saturday
66687e7ffc13ae4e09235204,Damaris Dumphry,Business Development,2024-02-03,7:52,17:42,Meeting,Saturday
66687e7ffc13ae4e09235205,Bertie Bragg,Engineering,2024-11-02,7:43,17:41,Work,Saturday
66687e7ffc13ae4e09235206,Tedra Jozefczak,Legal,2024-04-02,7:38,15:37,Work,Tuesday
66687e7ffc13ae4e09235207,Aubrie Jaslem,Product Management,2024-04-03,6:24,17:20,Meeting,Wednesday
66687e7ffc13ae4e09235208,Farley Barock,Training,2024-09-05,9:46,17:17,Meeting,Thursday
66687e7ffc13ae4e09235209,Vail Demare,Services,2024-01-03,8:18,14:14,Training,Wednesday
66687e7ffc13ae4e0923520a,Gillie Padgett,Services,2024-05-05,7:48,15:25,Work,Sunday
66687e7ffc13ae4e0923520b,Lilia Knapton,Research and Development,2024-08-05,9:50,14:18,Work,Monday
