id,Employee Name,Department,Visit_Date,Entry_Time,Exit_time,Purpose_of_visit,Day_of_Week
1,Trix Lanyon,Marketing,2024-12-01,7:46:57,08:46:57,Meeting,Sunday
2,Kendall Chuney,Marketing,2024-12-04,6:44:09,13:44:09,Training,Wednesday
3,Lilly Issacson,Research and Development,2024-12-03,9:07:14,15:07:14,Work,Tuesday
4,Carolee Dudleston,Business Development,2024-02-01,7:06:43,12:06:43,Meeting,Thursday
5,Cacilia Partrick,Engineering,2024-08-01,9:13:55,17:13:55,Meeting,Thursday
6,Reyna Huglin,Sales,2024-05-07,9:02:01,12:02:01,Training,Tuesday
7,Artemis Vivian,Human Resources,2024-08-01,9:19:09,13:19:09,Work,Thursday
8,Wait Petrillo,Training,2024-12-04,8:05:31,10:05:31,Work,Wednesday
9,Manon Norree,Product Management,2024-11-05,7:31:53,08:31:53,Meeting,Tuesday
10,Laura Trevithick,Research and Development,2024-07-01,6:24:16,14:24:16,Other,Monday
11,Evered Hartill,Services,2024-04-03,9:29:56,10:29:56,Meeting,Wednesday
12,Pammi Seacroft,Legal,2024-01-02,8:14:57,11:14:57,Client Visit,Tuesday
13,Cacilie Loney,Accounting,2024-02-01,8:17:53,16:17:53,Work,Thursday
14,Cilka Porte,Business Development,2024-06-03,9:30:36,11:30:36,Work,Monday
15,Dottie Cunradi,Support,2024-12-02,6:08:39,13:08:39,Other,Monday
16,Adore Foulds,Legal,2024-08-05,7:30:17,09:30:17,Meeting,Monday
17,Lina Ovington,Human Resources,2024-11-04,7:57:47,13:57:47,Work,Monday
18,Tallulah Tresler,Accounting,2024-07-03,9:34:16,10:34:16,Training,Wednesday
19,Godwin Benninck,Product Management,2024-09-06,6:29:14,14:29:14,Other,Friday
20,Dyan Menis,Accounting,2024-04-05,6:41:31,12:41:31,Work,Friday
21,Emmalynne Hospital,Engineering,2024-02-03,8:37:39,12:37:39,Meeting,Saturday
22,Elisabetta Klemmt,Research and Development,2024-08-05,7:26:14,09:26:14,Client Visit,Monday
23,Rory Grishanin,Legal,2024-02-03,7:56:05,12:56:05,Work,Saturday
24,Jennilee Gardener,Product Management,2024-05-02,8:30:19,11:30:19,Client Visit,Thursday
25,Caren Guilbert,Support,2024-08-03,9:35:56,13:35:56,Work,Saturday
26,Orson Battersby,Engineering,2024-08-01,6:14:38,07:14:38,Work,Thursday
27,Shari Forst,Accounting,2024-12-05,6:43:37,09:43:37,Other,Thursday
28,Kelli Oldroyd,Sales,2024-07-02,8:02:24,13:02:24,Client Visit,Tuesday
29,Martyn Walcot,Support,2024-04-05,6:25:26,10:25:26,Work,Friday
30,Jase Kienl,Engineering,2024-11-07,6:47:30,07:47:30,Meeting,Thursday
31,Harmonie Jamson,Human Resources,2024-02-01,9:41:28,16:41:28,Work,Thursday
32,Alberto Escott,Business Development,2024-04-07,9:42:45,11:42:45,Meeting,Sunday
33,Reggy Philippault,Services,2024-02-04,7:45:34,14:45:34,Other,Sunday
34,Donalt Hartright,Research and Development,2024-11-04,8:54:38,10:54:38,Meeting,Monday
35,Mackenzie Croci,Research and Development,2024-12-04,9:11:11,11:11:11,Work,Wednesday
36,Clark Laverenz,Support,2024-10-01,7:28:07,13:28:07,Work,Tuesday
37,Joey Crystal,Legal,2024-11-02,6:35:00,14:35:00,Meeting,Saturday
38,Helge Gribbell,Business Development,2024-08-04,6:21:11,10:21:11,Work,Sunday
39,Andris Corre,Services,2024-01-01,7:49:24,12:49:24,Other,Monday
40,Delano Rozzier,Legal,2024-12-01,9:18:49,15:18:49,Client Visit,Sunday
41,Chrotoem Bertelmot,Accounting,2024-04-01,9:04:38,10:04:38,Client Visit,Monday
42,Vidovik Doeg,Research and Development,2024-04-03,9:21:14,12:21:14,Work,Wednesday
43,Ferris Nazareth,Support,2024-05-03,8:39:00,12:39:00,Work,Friday
44,Sharlene Shilliday,Marketing,2024-01-07,7:36:25,12:36:25,Meeting,Sunday
45,Stephani Sexten,Product Management,2024-07-02,8:56:43,13:56:43,Client Visit,Tuesday
46,Fields Kliement,Product Management,2024-11-07,9:57:12,11:57:12,Other,Thursday
47,Jayme O'Cuddie,Research and Development,2024-02-04,6:04:24,10:04:24,Meeting,Sunday
48,Florry Headington,Accounting,2024-04-04,9:41:56,14:41:56,Training,Thursday
49,Marabel Gapper,Training,2024-07-02,6:02:41,13:02:41,Work,Tuesday
50,Willow Logg,Sales,2024-06-05,7:11:22,13:11:22,Meeting,Wednesday
51,Donaugh Breffit,Accounting,2024-02-04,7:19:21,12:19:21,Client Visit,Sunday
52,Deirdre Eads,Services,2024-05-01,8:39:45,15:39:45,Client Visit,Wednesday
53,Frederik Gibling,Research and Development,2024-02-02,8:05:10,15:05:10,Work,Friday
54,Nickola Scarborough,Training,2024-12-03,8:02:54,10:02:54,Client Visit,Tuesday
55,Callie Wyre,Research and Development,2024-02-01,7:02:06,10:02:06,Meeting,Thursday
56,Padraic Quantrell,Engineering,2024-07-06,8:08:19,15:08:19,Meeting,Saturday
57,Oliver Yaneev,Sales,2024-06-03,8:20:23,10:20:23,Work,Monday
58,Evelina Hestrop,Legal,2024-12-05,7:37:38,14:37:38,Work,Thursday
59,Corby Benda,Training,2024-08-06,8:46:18,16:46:18,Work,Tuesday
60,Bethena Nijs,Services,2024-02-01,9:21:35,15:21:35,Client Visit,Thursday
61,Cammy Casacchia,Business Development,2024-04-07,8:44:00,14:44:00,Meeting,Sunday
62,Morley Wrightem,Research and Development,2024-11-06,8:22:30,16:22:30,Work,Wednesday
63,Antoine Malatalant,Engineering,2024-10-07,8:37:32,15:37:32,Meeting,Monday
64,Theodore Darque,Engineering,2024-04-05,6:57:07,13:57:07,Meeting,Friday
65,Deb Bernard,Engineering,2024-11-05,6:15:49,14:15:49,Work,Tuesday
66,Gale Matzke,Marketing,2024-12-07,9:44:02,17:44:02,Work,Saturday
67,Raleigh Aluard,Marketing,2024-03-01,8:51:09,13:51:09,Other,Friday
68,Kori Jenson,Research and Development,2024-06-07,7:28:28,09:28:28,Work,Friday
69,Korry Reboul,Accounting,2024-05-06,8:38:31,09:38:31,Meeting,Monday
70,Hilary Haggie,Training,2024-08-02,6:21:28,10:21:28,Work,Friday
71,Christiano Philbrick,Research and Development,2024-07-04,6:27:40,08:27:40,Other,Thursday
72,Charyl Chetham,Sales,2024-03-02,9:10:52,13:10:52,Work,Saturday
73,Willis Dryburgh,Marketing,2024-08-07,6:44:43,08:44:43,Meeting,Wednesday
74,Emmye Phipp,Training,2024-06-03,8:25:18,16:25:18,Meeting,Monday
75,Germaine Girone,Business Development,2024-04-02,7:38:42,15:38:42,Work,Tuesday
76,Dacey Broadbere,Business Development,2024-01-07,7:32:22,10:32:22,Meeting,Sunday
77,Windy Haycraft,Marketing,2024-06-06,9:51:22,14:51:22,Other,Thursday
78,Isabelle Greensall,Support,2024-09-01,8:00:15,11:00:15,Meeting,Sunday
79,Gipsy Parsons,Product Management,2024-07-04,8:58:47,09:58:47,Meeting,Thursday
80,Jess Izod,Legal,2024-01-02,8:27:00,12:27:00,Meeting,Tuesday
81,Roma Livingstone,Training,2024-10-07,8:21:26,14:21:26,Training,Monday
82,Julina Van Leijs,Sales,2024-07-04,9:37:32,13:37:32,Meeting,Thursday
83,Hulda Praten,Legal,2024-01-03,6:43:47,09:43:47,Work,Wednesday
84,Marcela Boshere,Sales,2024-04-01,6:16:21,09:16:21,Work,Monday
85,Nappy Scarisbrick,Marketing,2024-06-02,9:58:38,11:58:38,Meeting,Sunday
86,Zorana Hankins,Accounting,2024-10-04,6:58:40,11:58:40,Other,Friday
87,Gizela Daintith,Marketing,2024-05-07,6:12:27,07:12:27,Training,Tuesday
88,Rora Pantridge,Accounting,2024-05-05,6:30:31,10:30:31,Meeting,Sunday
89,Brinna Kuzemka,Sales,2024-05-01,6:17:53,08:17:53,Client Visit,Wednesday
90,Kris Maginot,Engineering,2024-09-05,8:25:09,16:25:09,Work,Thursday
91,Baily Cotilard,Training,2024-03-03,6:17:28,07:17:28,Training,Sunday
92,Billye Wenham,Marketing,2024-01-01,6:37:29,07:37:29,Meeting,Monday
93,Gisela Duley,Sales,2024-11-07,8:25:36,15:25:36,Meeting,Thursday
94,Iormina Grebner,Legal,2024-01-04,9:35:54,17:35:54,Other,Thursday
95,Bidget Sexton,Business Development,2024-09-05,8:00:48,15:00:48,Other,Thursday
96,Kerr Plet,Accounting,2024-02-06,9:51:24,15:51:24,Work,Tuesday
97,Sid Matton,Research and Development,2024-04-02,9:38:31,15:38:31,Other,Tuesday
98,Donia Cannavan,Support,2024-04-03,9:47:24,14:47:24,Work,Wednesday
99,Lyn Merring,Legal,2024-06-03,7:35:28,14:35:28,Training,Monday
100,Westleigh Glendza,Support,2024-10-01,9:32:27,12:32:27,Training,Tuesday
101,Vittoria Silliman,Legal,2024-01-02,8:21:22,14:21:22,Meeting,Tuesday
102,Constancia Henke,Legal,2024-08-03,9:59:16,11:59:16,Other,Saturday
103,Lorri Ferrieres,Human Resources,2024-11-01,6:32:07,08:32:07,Training,Friday
104,Layton Jansey,Accounting,2024-06-07,7:08:17,09:08:17,Meeting,Friday
105,Marjory O'Connel,Accounting,2024-05-01,7:50:05,10:50:05,Meeting,Wednesday
106,Roda Sketcher,Product Management,2024-07-01,7:55:29,10:55:29,Meeting,Monday
107,Florence Clay,Accounting,2024-12-04,9:32:20,16:32:20,Meeting,Wednesday
108,Delinda Goskar,Accounting,2024-01-05,6:36:17,13:36:17,Other,Friday
109,Brew Cluely,Training,2024-07-05,7:42:47,15:42:47,Meeting,Friday
110,Dougie Shilston,Research and Development,2024-04-04,8:39:19,10:39:19,Meeting,Thursday
111,Scotty O' Loughran,Marketing,2024-09-07,8:01:41,13:01:41,Other,Saturday
112,Juliann Starkings,Services,2024-09-02,6:51:44,14:51:44,Work,Monday
113,Maryl Caudle,Marketing,2024-10-07,6:14:35,10:14:35,Work,Monday
114,Helaina McDavid,Product Management,2024-04-01,8:07:19,13:07:19,Training,Monday
115,Cacilia Mayell,Accounting,2024-07-05,7:48:25,09:48:25,Work,Friday
116,Sean Garter,Training,2024-10-03,7:02:45,13:02:45,Meeting,Thursday
117,Lucilia Gantlett,Business Development,2024-03-03,9:06:02,11:06:02,Client Visit,Sunday
118,Joane Heindrick,Engineering,2024-06-07,9:57:05,10:57:05,Work,Friday
119,Pia Amsberger,Legal,2024-03-05,7:57:54,15:57:54,Work,Tuesday
120,Otha Hawker,Support,2024-05-07,7:59:48,15:59:48,Training,Tuesday
121,Polly Maxwaile,Business Development,2024-07-01,9:06:32,15:06:32,Work,Monday
122,Basil Bluett,Training,2024-09-03,7:08:16,12:08:16,Meeting,Tuesday
123,Korrie Cordet,Business Development,2024-07-05,6:24:21,14:24:21,Work,Friday
124,Essa Dymoke,Human Resources,2024-10-07,8:02:16,13:02:16,Other,Monday
125,Janos Rapa,Business Development,2024-12-05,8:55:17,12:55:17,Work,Thursday
126,Phedra Panner,Sales,2024-10-05,8:38:43,09:38:43,Meeting,Saturday
127,Shelley Ironside,Accounting,2024-12-06,7:53:02,12:53:02,Client Visit,Friday
128,Myrna Voak,Support,2024-01-05,7:07:27,09:07:27,Work,Friday
129,Rhianna Uttermare,Product Management,2024-06-05,9:46:01,14:46:01,Meeting,Wednesday
130,Julio Breffitt,Human Resources,2024-12-04,8:35:59,14:35:59,Training,Wednesday
131,Elijah Macklin,Engineering,2024-08-04,7:02:00,13:02:00,Training,Sunday
132,Alverta Schelle,Services,2024-04-03,9:57:00,17:57:00,Work,Wednesday
133,Melessa Peyton,Services,2024-05-05,7:40:24,10:40:24,Meeting,Sunday
134,Alwyn Gleadle,Research and Development,2024-11-04,6:33:04,09:33:04,Work,Monday
135,Archambault Larchiere,Services,2024-12-03,6:57:05,10:57:05,Meeting,Tuesday
136,Vern Sherrum,Legal,2024-06-07,7:58:30,13:58:30,Work,Friday
137,Avril Kohrs,Sales,2024-11-03,9:58:10,16:58:10,Meeting,Sunday
138,Crichton Spohrmann,Engineering,2024-03-03,7:08:25,10:08:25,Work,Sunday
139,Lila Firebrace,Product Management,2024-04-02,7:13:38,12:13:38,Meeting,Tuesday
140,Madge Prantoni,Support,2024-07-03,7:34:44,15:34:44,Meeting,Wednesday
141,Darla Towers,Sales,2024-11-03,7:13:57,13:13:57,Work,Sunday
142,Meaghan Schultheiss,Accounting,2024-02-05,6:56:00,11:56:00,Client Visit,Monday
143,Von Biddlestone,Product Management,2024-10-02,9:57:49,12:57:49,Client Visit,Wednesday
144,Zia Goodinge,Training,2024-08-03,6:17:31,11:17:31,Training,Saturday
145,Berta Grendon,Legal,2024-02-07,7:20:35,14:20:35,Other,Wednesday
146,Hobart Bison,Human Resources,2024-05-02,8:51:19,09:51:19,Meeting,Thursday
147,Sallyanne Daughtry,Product Management,2024-11-06,9:26:40,16:26:40,Meeting,Wednesday
148,Mae Unstead,Sales,2024-08-06,7:11:30,12:11:30,Work,Tuesday
149,Freddi Blare,Human Resources,2024-06-01,9:54:06,13:54:06,Work,Saturday
150,Sandye Pigden,Accounting,2024-01-01,9:49:58,11:49:58,Work,Monday
151,Abran Bozier,Business Development,2024-07-06,8:42:49,09:42:49,Work,Saturday
152,Ivan Querrard,Research and Development,2024-09-02,7:29:03,08:29:03,Meeting,Monday
153,Son McRill,Training,2024-01-07,9:44:47,10:44:47,Work,Sunday
154,Meridel Stutt,Services,2024-08-01,9:36:51,13:36:51,Work,Thursday
155,Delilah Spittles,Sales,2024-05-01,9:58:44,11:58:44,Client Visit,Wednesday
156,Avrom Pugsley,Human Resources,2024-10-07,7:22:14,14:22:14,Training,Monday
157,Faith Babbe,Business Development,2024-06-04,8:25:04,13:25:04,Work,Tuesday
158,Thorn Cranham,Marketing,2024-03-04,8:40:33,10:40:33,Client Visit,Monday
159,Ingeborg Vernazza,Marketing,2024-05-06,6:01:28,12:01:28,Client Visit,Monday
160,Jeri Greggersen,Engineering,2024-04-02,8:43:45,12:43:45,Other,Tuesday
161,Harwell Glasser,Support,2024-11-01,7:33:51,11:33:51,Client Visit,Friday
162,Clerc Fake,Product Management,2024-08-07,9:32:30,16:32:30,Meeting,Wednesday
163,Brent Dalgetty,Marketing,2024-07-07,7:39:35,15:39:35,Work,Sunday
164,Claudie Maryon,Marketing,2024-08-06,8:01:56,11:01:56,Client Visit,Tuesday
165,Benyamin Faragan,Accounting,2024-02-01,7:56:06,14:56:06,Work,Thursday
166,Ezmeralda Boissier,Training,2024-12-04,7:59:38,08:59:38,Meeting,Wednesday
167,Quintus Hedge,Training,2024-01-04,9:24:09,14:24:09,Meeting,Thursday
168,Antonius Bullimore,Engineering,2024-11-07,7:56:43,15:56:43,Work,Thursday
169,Tab de Werk,Legal,2024-01-07,9:24:58,10:24:58,Work,Sunday
170,Ofella Inseal,Business Development,2024-08-02,9:05:06,17:05:06,Meeting,Friday
171,Penn Hamshar,Services,2024-07-01,9:11:36,13:11:36,Work,Monday
172,Ricki Delagua,Research and Development,2024-11-06,7:28:22,10:28:22,Client Visit,Wednesday
173,Walton Woodburne,Support,2024-04-04,6:00:36,10:00:36,Meeting,Thursday
174,Jozef Rhelton,Services,2024-07-02,7:09:31,12:09:31,Client Visit,Tuesday
175,Sephira Cohan,Product Management,2024-01-01,8:45:53,09:45:53,Meeting,Monday
176,Abbey McCoughan,Training,2024-02-05,6:05:23,07:05:23,Meeting,Monday
177,Russell Petroulis,Marketing,2024-06-05,7:47:39,15:47:39,Meeting,Wednesday
178,Janek Ings,Research and Development,2024-10-05,7:20:17,15:20:17,Work,Saturday
179,Burnard Mullaly,Support,2024-06-06,7:47:11,13:47:11,Work,Thursday
180,Lilia Balcombe,Training,2024-11-05,6:41:24,07:41:24,Client Visit,Tuesday
181,Swen Iliff,Accounting,2024-07-06,6:38:16,13:38:16,Other,Saturday
182,Merrielle Woosnam,Business Development,2024-12-01,7:21:26,14:21:26,Client Visit,Sunday
183,Yorke Dinnies,Services,2024-10-06,8:46:22,09:46:22,Meeting,Sunday
184,Patsy Whannel,Accounting,2024-03-07,7:03:50,10:03:50,Meeting,Thursday
185,Leticia Krysztofiak,Legal,2024-02-04,8:43:23,09:43:23,Training,Sunday
186,Dael Tschierse,Marketing,2024-02-07,7:24:14,09:24:14,Work,Wednesday
187,Jojo Southwood,Services,2024-12-02,7:51:49,10:51:49,Work,Monday
188,Ferguson Frayling,Human Resources,2024-10-02,8:16:12,10:16:12,Training,Wednesday
189,Caryn Jurgensen,Marketing,2024-04-04,6:34:13,07:34:13,Meeting,Thursday
190,Maryellen Corran,Marketing,2024-05-01,6:58:08,07:58:08,Client Visit,Wednesday
191,Mufi Dhennin,Engineering,2024-05-05,7:36:34,09:36:34,Meeting,Sunday
192,Daven Heyball,Services,2024-04-05,9:32:33,12:32:33,Other,Friday
193,Addison Pentin,Human Resources,2024-07-06,9:43:38,16:43:38,Meeting,Saturday
194,Gideon Nockles,Services,2024-06-06,8:52:05,14:52:05,Work,Thursday
195,Ferdinande Fruchon,Accounting,2024-05-05,7:01:09,14:01:09,Work,Sunday
196,Appolonia Simyson,Research and Development,2024-10-04,9:01:54,14:01:54,Work,Friday
197,Sabra Wellington,Research and Development,2024-06-03,6:14:47,11:14:47,Meeting,Monday
198,Auroora Husselbee,Services,2024-10-07,8:42:20,15:42:20,Meeting,Monday
199,Charmian Pybus,Human Resources,2024-04-01,8:47:54,11:47:54,Work,Monday
200,Major Matuschek,Research and Development,2024-10-01,9:56:17,11:56:17,Work,Tuesday
201,Padraic Ginman,Legal,2024-10-02,8:22:13,16:22:13,Work,Wednesday
202,Martynne Brogiotti,Marketing,2024-10-01,6:34:24,10:34:24,Meeting,Tuesday
203,Ludwig Stede,Product Management,2024-10-01,8:09:07,09:09:07,Meeting,Tuesday
204,Skylar Maffioletti,Legal,2024-07-04,6:23:06,07:23:06,Work,Thursday
205,Babara Mazillius,Marketing,2024-11-02,8:06:37,09:06:37,Meeting,Saturday
